,id,humidity,temperature,created_at,updated_at
0,228911,20.0,18.5,2024-02-15 00:15:04.919761,2024-02-15 00:15:04.919761
1,228912,20.0,18.5,2024-02-15 00:15:14.943666,2024-02-15 00:15:14.943666
2,228913,20.0,18.5,2024-02-15 00:15:24.978795,2024-02-15 00:15:24.978795
3,228914,20.0,18.5,2024-02-15 00:15:35.025675,2024-02-15 00:15:35.025675
4,228915,20.0,18.5,2024-02-15 00:15:45.039553,2024-02-15 00:15:45.039553
5,228916,20.0,18.5,2024-02-15 00:15:55.070744,2024-02-15 00:15:55.070744
6,228917,20.0,18.4,2024-02-15 00:16:05.123347,2024-02-15 00:16:05.123347
7,228918,20.0,18.4,2024-02-15 00:16:15.124298,2024-02-15 00:16:15.124298
8,228919,20.0,18.5,2024-02-15 00:16:25.163808,2024-02-15 00:16:25.163808
9,228920,20.0,18.4,2024-02-15 00:16:35.203007,2024-02-15 00:16:35.203007
10,228921,20.0,18.4,2024-02-15 00:16:45.217612,2024-02-15 00:16:45.217612
11,228922,20.0,18.4,2024-02-15 00:16:55.243609,2024-02-15 00:16:55.243609
12,228923,20.0,18.4,2024-02-15 00:17:05.275982,2024-02-15 00:17:05.275982
13,228924,20.0,18.4,2024-02-15 00:17:15.309891,2024-02-15 00:17:15.309891
14,228925,20.0,18.4,2024-02-15 00:17:25.334281,2024-02-15 00:17:25.334281
15,228926,20.0,18.4,2024-02-15 00:17:35.379402,2024-02-15 00:17:35.379402
16,228927,20.0,18.4,2024-02-15 00:17:45.405198,2024-02-15 00:17:45.405198
17,228928,20.0,18.4,2024-02-15 00:17:55.432297,2024-02-15 00:17:55.432297
18,228929,20.0,18.4,2024-02-15 00:18:05.455955,2024-02-15 00:18:05.455955
19,228930,20.0,18.4,2024-02-15 00:18:15.493989,2024-02-15 00:18:15.493989
20,228931,20.0,18.4,2024-02-15 00:18:25.524805,2024-02-15 00:18:25.524805
21,228932,20.0,18.4,2024-02-15 00:18:35.544707,2024-02-15 00:18:35.544707
22,228933,20.0,18.4,2024-02-15 00:18:45.577525,2024-02-15 00:18:45.577525
23,228934,20.0,18.4,2024-02-15 00:18:55.609913,2024-02-15 00:18:55.609913
24,228935,20.0,18.4,2024-02-15 00:19:05.637248,2024-02-15 00:19:05.637248
25,228936,20.0,18.4,2024-02-15 00:19:15.671425,2024-02-15 00:19:15.671425
26,228937,20.0,18.4,2024-02-15 00:19:25.703164,2024-02-15 00:19:25.703164
27,228938,20.0,18.4,2024-02-15 00:19:35.725744,2024-02-15 00:19:35.725744
28,228939,20.0,18.4,2024-02-15 00:19:45.752691,2024-02-15 00:19:45.752691
29,228940,20.0,18.4,2024-02-15 00:19:55.792202,2024-02-15 00:19:55.792202
30,228941,20.0,18.4,2024-02-15 00:20:05.822480,2024-02-15 00:20:05.822480
31,228942,20.0,18.4,2024-02-15 00:20:15.858294,2024-02-15 00:20:15.858294
32,228943,20.0,18.4,2024-02-15 00:20:25.884685,2024-02-15 00:20:25.884685
33,228944,20.0,18.4,2024-02-15 00:20:35.914502,2024-02-15 00:20:35.914502
34,228945,20.0,18.4,2024-02-15 00:20:45.955786,2024-02-15 00:20:45.955786
35,228946,20.0,18.4,2024-02-15 00:20:55.984467,2024-02-15 00:20:55.984467
36,228947,20.0,18.5,2024-02-15 00:21:06.004934,2024-02-15 00:21:06.004934
37,228948,20.0,18.4,2024-02-15 00:21:16.036349,2024-02-15 00:21:16.036349
38,228949,20.0,18.4,2024-02-15 00:21:26.058053,2024-02-15 00:21:26.058053
39,228950,20.0,18.4,2024-02-15 00:21:36.087300,2024-02-15 00:21:36.087300
40,228951,20.0,18.4,2024-02-15 00:21:46.117607,2024-02-15 00:21:46.117607
41,228952,20.0,18.4,2024-02-15 00:21:56.151269,2024-02-15 00:21:56.151269
42,228953,20.0,18.4,2024-02-15 00:22:06.181226,2024-02-15 00:22:06.181226
43,228954,20.0,18.4,2024-02-15 00:22:16.219053,2024-02-15 00:22:16.219053
44,228955,20.0,18.4,2024-02-15 00:22:26.236459,2024-02-15 00:22:26.236459
45,228956,20.0,18.4,2024-02-15 00:22:36.268366,2024-02-15 00:22:36.268366
46,228957,20.0,18.4,2024-02-15 00:22:46.299339,2024-02-15 00:22:46.299339
47,228958,20.0,18.4,2024-02-15 00:22:56.327173,2024-02-15 00:22:56.327173
48,228959,20.0,18.4,2024-02-15 00:23:06.378313,2024-02-15 00:23:06.378313
49,228960,20.0,18.4,2024-02-15 00:23:16.395187,2024-02-15 00:23:16.395187
50,228961,20.0,18.4,2024-02-15 00:23:26.418481,2024-02-15 00:23:26.418481
51,228962,20.0,18.4,2024-02-15 00:23:36.453226,2024-02-15 00:23:36.453226
52,228963,20.0,18.4,2024-02-15 00:23:46.489826,2024-02-15 00:23:46.489826
53,228964,20.0,18.4,2024-02-15 00:23:56.511764,2024-02-15 00:23:56.511764
54,228965,20.0,18.4,2024-02-15 00:24:06.544163,2024-02-15 00:24:06.544163
55,228966,20.0,18.4,2024-02-15 00:24:16.580038,2024-02-15 00:24:16.580038
56,228967,20.0,18.4,2024-02-15 00:24:26.597451,2024-02-15 00:24:26.597451
57,228968,20.0,18.4,2024-02-15 00:24:36.627202,2024-02-15 00:24:36.627202
58,228969,20.0,18.4,2024-02-15 00:24:46.659873,2024-02-15 00:24:46.659873
59,228970,20.0,18.4,2024-02-15 00:24:56.686802,2024-02-15 00:24:56.686802
60,228971,20.0,18.4,2024-02-15 00:25:06.723237,2024-02-15 00:25:06.723237
61,228972,20.0,18.4,2024-02-15 00:25:16.755580,2024-02-15 00:25:16.755580
62,228973,20.0,18.4,2024-02-15 00:25:26.783697,2024-02-15 00:25:26.783697
63,228974,20.0,18.4,2024-02-15 00:25:36.803196,2024-02-15 00:25:36.803196
64,228975,20.0,18.4,2024-02-15 00:25:46.843299,2024-02-15 00:25:46.843299
65,228976,20.0,18.4,2024-02-15 00:25:56.869112,2024-02-15 00:25:56.869112
66,228977,20.0,18.4,2024-02-15 00:26:06.902458,2024-02-15 00:26:06.902458
67,228821,20.0,18.5,2024-02-15 00:00:02.204719,2024-02-15 00:00:02.204719
68,228822,20.0,18.5,2024-02-15 00:00:12.239751,2024-02-15 00:00:12.239751
69,228823,20.0,18.5,2024-02-15 00:00:22.267233,2024-02-15 00:00:22.267233
70,228824,20.0,18.5,2024-02-15 00:00:32.291836,2024-02-15 00:00:32.291836
71,228825,20.0,18.5,2024-02-15 00:00:42.326469,2024-02-15 00:00:42.326469
72,228826,20.0,18.5,2024-02-15 00:00:52.363404,2024-02-15 00:00:52.363404
73,228827,20.0,18.5,2024-02-15 00:01:02.387679,2024-02-15 00:01:02.387679
74,228828,20.0,18.5,2024-02-15 00:01:12.419984,2024-02-15 00:01:12.419984
75,228829,20.0,18.5,2024-02-15 00:01:22.461097,2024-02-15 00:01:22.461097
76,228830,20.0,18.5,2024-02-15 00:01:32.480231,2024-02-15 00:01:32.480231
77,228831,20.0,18.5,2024-02-15 00:01:42.502758,2024-02-15 00:01:42.502758
78,228832,20.0,18.5,2024-02-15 00:01:52.542284,2024-02-15 00:01:52.542284
79,228833,20.0,18.5,2024-02-15 00:02:02.567340,2024-02-15 00:02:02.567340
80,228834,20.0,18.5,2024-02-15 00:02:12.593118,2024-02-15 00:02:12.593118
81,228835,20.0,18.5,2024-02-15 00:02:22.624701,2024-02-15 00:02:22.624701
82,228836,20.0,18.5,2024-02-15 00:02:32.652171,2024-02-15 00:02:32.652171
83,228837,20.0,18.5,2024-02-15 00:02:42.681868,2024-02-15 00:02:42.681868
84,228838,20.0,18.5,2024-02-15 00:02:52.720220,2024-02-15 00:02:52.720220
85,228839,20.0,18.5,2024-02-15 00:03:02.748115,2024-02-15 00:03:02.748115
86,228840,20.0,18.5,2024-02-15 00:03:12.771706,2024-02-15 00:03:12.771706
87,228841,20.0,18.5,2024-02-15 00:03:22.806186,2024-02-15 00:03:22.806186
88,228842,20.0,18.5,2024-02-15 00:03:32.837762,2024-02-15 00:03:32.837762
89,228843,20.0,18.5,2024-02-15 00:03:42.868345,2024-02-15 00:03:42.868345
90,228844,20.0,18.5,2024-02-15 00:03:52.943279,2024-02-15 00:03:52.943279
91,228845,20.0,18.5,2024-02-15 00:04:02.923609,2024-02-15 00:04:02.923609
92,228846,20.0,18.5,2024-02-15 00:04:12.962683,2024-02-15 00:04:12.962683
93,228847,20.0,18.5,2024-02-15 00:04:22.988166,2024-02-15 00:04:22.988166
94,228848,20.0,18.5,2024-02-15 00:04:33.022747,2024-02-15 00:04:33.022747
95,228849,20.0,18.5,2024-02-15 00:04:43.050067,2024-02-15 00:04:43.050067
96,228850,20.0,18.5,2024-02-15 00:04:53.075846,2024-02-15 00:04:53.075846
97,228851,20.0,18.5,2024-02-15 00:05:03.105213,2024-02-15 00:05:03.105213
98,228852,20.0,18.5,2024-02-15 00:05:13.138363,2024-02-15 00:05:13.138363
99,228853,20.0,18.5,2024-02-15 00:05:23.163611,2024-02-15 00:05:23.163611
100,228854,20.0,18.5,2024-02-15 00:05:33.197315,2024-02-15 00:05:33.197315
101,228855,20.0,18.5,2024-02-15 00:05:43.228900,2024-02-15 00:05:43.228900
102,228856,20.0,18.5,2024-02-15 00:05:53.265386,2024-02-15 00:05:53.265386
103,228857,20.0,18.5,2024-02-15 00:06:03.295365,2024-02-15 00:06:03.295365
